uuid,name,type,primary_role,cb_url,domain,homepage_url,logo_url,facebook_url,twitter_url,linkedin_url,combined_stock_symbols,city,region,country_code,short_description
3d9e4070-1a25-7491-d1a9-17bec9f6361b,Hutchison Whampoa,organization,investor,https://www.crunchbase.com/organization/hutchison-whampoa-limited?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,hutchison-whampoa.com,http://www.hutchison-whampoa.com/,https://images.crunchbase.com/image/upload/t_cb-default-original/fetqxia1bjqs0girhmjc,,,,hkg:0013,Hong Kong,Hong Kong Island,HKG,Hutchison Whampoa Limited is a Hong Kong-based multinational conglomerate committed to innovation and technology.
5858c937-702e-c278-1725-2b5e02471482,Cheung Kong Holdings,organization,investor,https://www.crunchbase.com/organization/cheung-kong-holdings?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,ckh.com.hk,http://www.ckh.com.hk/,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178475/7b38768e8a667a560f1ecfa900d58868.gif,,,,,Hong Kong,Hong Kong Island,HKG,"Cheung Kong Holdings is focused on ports and related services, retail, infrastructure, energy, and telecommunications businesses."
30b3efdf-6024-804d-ea55-c4d1a8dfc86c,Goldman Sachs,organization,investor,https://www.crunchbase.com/organization/goldman-sachs?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,goldmansachs.com,https://www.goldmansachs.com,https://images.crunchbase.com/image/upload/t_cb-default-original/n45lcwlbx6pkarnt1moh,https://www.facebook.com/goldmansachs,http://twitter.com/goldmansachs,http://www.linkedin.com/company/goldman-sachs,nyse:GS,New York,New York,USA,"Goldman Sachs is a multinational financial services firm providing securities, investment banking, and management services."
ac88d380-ab57-cf90-a05b-e39ff838c6f9,Tapuz,organization,investor,https://www.crunchbase.com/organization/tapuz?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,tapuz.co.il,http://www.tapuz.co.il,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178504/43ab836c9fd55772514f3fd9e48d5b6e.png,https://www.facebook.com/tapuz.co.il,http://twitter.com/TapuzAnashim,https://www.linkedin.com/company/tapuz,tlv:USER,Herzliya,Tel Aviv,ISR,"Tapuz is a financial organization. Their website is in Hebrew, making it difficult to get information on them. If you have more"
e2a753f1-1247-b2f9-1f97-c5f2c1ec7b0a,Legg Mason,organization,investor,https://www.crunchbase.com/organization/legg-mason?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,leggmason.com,http://www.leggmason.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1476694409/c2jyvezhgujcrxyfl26l.png,http://www.facebook.com/leggmason,http://twitter.com/leggmason,http://www.linkedin.com/company/legg-mason,nyse:LM,Baltimore,Maryland,USA,Legg Mason is an American-based global investment management firm with a focus on asset management.
30bcdd65-41ce-122b-8ef3-52a187ed4bf9,3i Group,organization,investor,https://www.crunchbase.com/organization/3i-group?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,3i.com,http://www.3i.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1472600080/rmo5eewabu265uvyyjk3.jpg,https://www.facebook.com/3iplc/,http://twitter.com/3iplc,http://www.linkedin.com/company/3i-group-plc,lse:III,London,England,GBR,"3i is an international investment manager focused on mid-market Private Equity, Infrastructure & Debt Management."
1136a450-8a97-40f4-d9c8-e8ffeb529de3,Allen & Company,organization,investor,https://www.crunchbase.com/organization/allen-and-company?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,alleninvestments.com,https://alleninvestments.com,https://images.crunchbase.com/image/upload/t_cb-default-original/baixwrwn89zpxts6hm8m,https://www.facebook.com/alleninvestments,http://www.twitter.com/allenandcompany,https://www.linkedin.com/company/allen-&-company/,,Lakeland,Florida,USA,"Allen & Company focuses on wealth management, investment planning, life insurance, charitable giving, stock options and business planning."
5022e858-08de-d74f-8958-abc045e70b67,Garage Technology Ventures,organization,investor,https://www.crunchbase.com/organization/garage-technology-ventures?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,garage.com,http://www.garage.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1413245767/v5dhmaqrw6cvt1wg0oxf.jpg,http://www.facebook.com/Garage.Technology.Ventures,http://twitter.com/garagevc,http://www.linkedin.com/company/garage-technology-ventures,,Palo Alto,California,USA,Garage Technology Ventures is a seed and early-stage venture capital firm.
468bef9f-2f50-590e-6e78-62e3adb05aa1,Citi,organization,investor,https://www.crunchbase.com/organization/citigroup?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,citigroup.com,https://www.citigroup.com,https://images.crunchbase.com/image/upload/t_cb-default-original/decenjjhhpewtdjkvaro,https://www.facebook.com/citi,https://twitter.com/citi,https://www.linkedin.com/company/citi,nyse:C,New York,New York,USA,Citigroup is a financial services holding company that provides various financial products and services.
ec26a756-d387-a455-c6fc-90fe11ece02c,SoftBank Capital,organization,investor,https://www.crunchbase.com/organization/softbank-capital?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,group.softbank,https://group.softbank/,https://images.crunchbase.com/image/upload/t_cb-default-original/jnkukjkcemewo43kdnic,,https://twitter.com/SoftBank_Group,https://www.linkedin.com/company/softbankgroup,,Tokyo,Tokyo,JPN,SoftBank Group is a holding company focused on artificial intelligence and other emerging technologies.
e07f0f04-9145-db9a-5c2b-b4e0d93b2592,GE Commercial Finance,organization,investor,https://www.crunchbase.com/organization/ge-commercial-finance?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,gecommercialfinance.com,http://www.gecommercialfinance.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178635/30d5f9487032eec6672c862de1e9e106.png,,https://twitter.com/gecapital,https://www.linkedin.com/company/gecapital,,Norwalk,Connecticut,USA,GE Commercial Finance is one of General Electric's largest growth engines.
0ee606f8-e4ef-4390-52b8-80a9e8c83711,Shea Ventures,organization,investor,https://www.crunchbase.com/organization/shea-ventures?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,jfshea.com,http://www.jfshea.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178590/cef26fcaf903f64b207c561f39953215.jpg,,,https://www.linkedin.com/company/j.f.-shea-co.-inc./,,Walnut,California,USA,Shea Ventures provides venture capital and other support for promising technology companies.
bb4f3034-546e-e5f8-a1d6-15d29d82b6cb,Global Catalyst Partners,organization,investor,https://www.crunchbase.com/organization/global-catalyst-partners?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,gc-partners.com,http://www.gc-partners.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178652/fce92def5bc3a09865c994edd60292ac.gif,,,https://www.linkedin.com/company/global-catalyst-partners/,,Redwood Shores,California,USA,"Global Catalyst Partners is an international, multistage, technology-oriented venture capital firm."
66fcc74c-3c46-cc37-0ad7-0f6b7c72caa2,Anschutz Investment,organization,investor,https://www.crunchbase.com/organization/anschutz-investment?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,anschutz-exploration.com,http://www.anschutz-exploration.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1458807049/flxx5ryfbwm3vbabqsc3.png,,,https://www.linkedin.com/company/anschutz-exploration-corporation,,Denver,Colorado,USA,"You might say that Denver multibillionaire Philip Anschutz is on a Qwest. His holding company, with investments in over 100 companies,"
a490fe3e-9b86-8337-93f5-09c2f302e67e,Herald Ventures,organization,investor,https://www.crunchbase.com/organization/herald-ventures?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,heralduk.com,http://www.heralduk.com,https://images.crunchbase.com/image/upload/t_cb-default-original/hlhig14mybi4tobeqtjv,,https://twitter.com/heraldinvest,https://www.linkedin.com/company/herald-invesment-managememt-limited,lse:HRI,London,England,GBR,"Herald specialise in achieving capital growth through investing in companies in the areas of technology, media and communications."
3c1529bd-bdc6-0071-50b1-6f45b820f1b8,Outcome Capital,organization,investor,https://www.crunchbase.com/organization/wwc-capital-fund?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,outcomecapital.com,http://www.outcomecapital.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397760809/aa379f9477b126bb2c109ba908b5eca1.png,,,https://www.linkedin.com/company/outcome-capital,,Reston,Virginia,USA,"Outcome Capital is an investment firm that provides for middle-market growth companies in tech, life science, and healthcare."
0686cdc6-d6e7-0417-8329-29b5c85afeef,Seedcamp,organization,investor,https://www.crunchbase.com/organization/seedcamp?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,seedcamp.com,http://www.seedcamp.com,https://images.crunchbase.com/image/upload/t_cb-default-original/84025f6c63774b8cb2707aab0d017dd6,http://www.facebook.com/seedcamp,http://twitter.com/seedcamp,http://www.linkedin.com/company/seedcamp_2,,London,England,GBR,Seedcamp is a European seed fund that identifies and invests early in founders attacking global markets.
4ee9e40a-f11d-1868-2a4b-029a26728480,SCP Worldwide,organization,investor,https://www.crunchbase.com/organization/scp-worldwide?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,scpworldwide.net,http://www.scpworldwide.net,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178744/17cbf90e29d2ebedf05d4df55cd0abc3.jpg,,,,,New York,New York,USA,"SCP Worldwide is a growing sport, entertainment, and media enterprise operated by some of the industry's most successful executives."
41e71793-b8b2-51a5-98cb-dd8f7b2e5fdb,Elron Ventures,organization,investor,https://www.crunchbase.com/organization/elron-electronic-industries?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,elronventures.com,https://elronventures.com,https://images.crunchbase.com/image/upload/t_cb-default-original/b2ngrezn7d1uskp7lksk,https://www.facebook.com/elronIsrael/,,https://www.linkedin.com/company/elron-ventures/,tlv:ELRN,Tel Aviv,Tel Aviv,ISR,Elron Ventures is an early-stage investor committed to turning promising ideas into global industry leaders.
b317f92c-6b57-a05d-940c-27804451efc6,The Kraft Group,organization,investor,https://www.crunchbase.com/organization/kraft-group?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,thekraftgroup.com,http://www.thekraftgroup.com,https://images.crunchbase.com/image/upload/t_cb-default-original/v1397178771/1de3d611b8cd66bf77b031c8246539cc.png,https://www.facebook.com/KraftGroupJobs/,http://twitter.com/kraftgroupjobs,https://www.linkedin.com/company/kraft-sports-group,,Foxboro,Massachusetts,USA,"The Kraft Group is a privately-owned, family-operated company that is a major player in the world of business."
